"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K","Param: calc","Param: dimension","Param: distance","Param: vectorsCount"
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,29.884941,1.826565,"ms/op",20,PlainJava,256,euc,1000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,449.944702,80.681688,"ms/op",20,PlainJava,256,euc,5000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,1519.074711,561.423873,"ms/op",20,PlainJava,256,euc,10000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,38.253196,1.667214,"ms/op",20,PlainJava,256,ang,1000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,557.378094,79.976328,"ms/op",20,PlainJava,256,ang,5000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,2360.375220,809.309721,"ms/op",20,PlainJava,256,ang,10000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,14.409885,0.483326,"ms/op",20,VectorApi,256,euc,1000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,224.499903,57.661128,"ms/op",20,VectorApi,256,euc,5000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,781.007255,203.590994,"ms/op",20,VectorApi,256,euc,10000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,33.216740,1.975122,"ms/op",20,VectorApi,256,ang,1000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,548.329888,128.776796,"ms/op",20,VectorApi,256,ang,5000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,1674.561932,389.959090,"ms/op",20,VectorApi,256,ang,10000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,27.378475,0.702845,"ms/op",20,NativeJni,256,euc,1000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,450.730938,132.823343,"ms/op",20,NativeJni,256,euc,5000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,1486.582150,656.509760,"ms/op",20,NativeJni,256,euc,10000
"ru.ifmo.se.benchmarks.KnnBenchmark.knn","avgt",1,10,28.943830,1.462160,"ms/op",20,NativeJni,256,ang,1000
