"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension","Param: vectorsCount"
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,807.413699,0.901456,"us/op",PlainJava,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,5087.604031,7.051734,"us/op",PlainJava,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,20299.217202,164.376387,"us/op",PlainJava,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,1184.846253,3.374180,"us/op",PlainJava,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,7441.004710,4.622724,"us/op",PlainJava,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,29850.740152,84.196302,"us/op",PlainJava,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,3099.297742,3.132560,"us/op",PlainJava,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,19504.424381,27.432169,"us/op",PlainJava,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,78702.916369,163.462841,"us/op",PlainJava,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,673.013481,0.655463,"us/op",VectorApi,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,4312.182318,3.494784,"us/op",VectorApi,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,17221.863885,28.914405,"us/op",VectorApi,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,1004.626017,2.905531,"us/op",VectorApi,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,6327.131654,5.870885,"us/op",VectorApi,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,25395.607618,30.515181,"us/op",VectorApi,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,1964.407329,3.483927,"us/op",VectorApi,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,12370.942987,35.289463,"us/op",VectorApi,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,49741.932735,97.342583,"us/op",VectorApi,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,87.458490,1.598229,"us/op",NativeJni,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,526.279389,0.581243,"us/op",NativeJni,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,1960.116041,4.567391,"us/op",NativeJni,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,125.169617,0.132124,"us/op",NativeJni,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,766.741838,1.424084,"us/op",NativeJni,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,3000.512775,3.126432,"us/op",NativeJni,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,227.410734,0.351021,"us/op",NativeJni,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,1271.575447,8.771186,"us/op",NativeJni,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,5029.630744,70.076487,"us/op",NativeJni,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,95.865077,9.500012,"us/op",NativePanama,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,637.157900,0.429769,"us/op",NativePanama,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,2158.178240,71.503517,"us/op",NativePanama,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,151.244877,0.282591,"us/op",NativePanama,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,851.061747,41.604903,"us/op",NativePanama,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,3132.362719,13.233416,"us/op",NativePanama,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,227.660866,0.675331,"us/op",NativePanama,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,1390.894623,59.202636,"us/op",NativePanama,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,5462.853478,48.573690,"us/op",NativePanama,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,15.657982,0.126328,"us/op",PlainJava,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,39.624674,0.023945,"us/op",PlainJava,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,79.550929,0.256025,"us/op",PlainJava,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,23.140874,0.110169,"us/op",PlainJava,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,57.655867,0.333540,"us/op",PlainJava,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,117.176829,0.413153,"us/op",PlainJava,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,60.711310,0.034286,"us/op",PlainJava,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,153.602491,0.823345,"us/op",PlainJava,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,306.240746,2.076871,"us/op",PlainJava,768,500
