"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension","Param: vectorsCount"
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,87.407205,3.541139,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,533.793271,41.113936,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,2043.542942,9.757581,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,126.473270,5.577444,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,779.552714,50.478258,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,2975.551955,6.913418,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,213.267411,3.962527,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,1346.043936,70.158645,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMatrix","avgt",1,10,5266.940681,173.689254,"us/op",NativeJvmci,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,7.377180,0.063585,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,19.577426,1.105556,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,39.304151,0.460149,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,11.659499,0.443013,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,30.399497,3.673048,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,66.540877,2.660261,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,21.645860,1.410323,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,60.580010,2.701678,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,133.884867,5.563518,"us/op",NativeJvmci,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,20.378229,0.443030,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,50.593429,1.626241,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,110.011883,1.960653,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,26.694482,0.236687,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,75.101682,1.569352,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,159.355998,1.417625,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,65.514186,0.439933,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,155.855181,4.200205,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.averageVector","avgt",1,10,333.149469,8.715397,"us/op",NativeJvmci,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,66.468592,0.812897,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,396.908391,0.740734,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,1632.707192,5.518399,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,94.877051,0.475685,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,575.569053,4.732363,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,2330.323551,19.877898,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,180.592888,0.886223,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,1095.533994,7.815961,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMatrix","avgt",1,10,4382.888277,9.731985,"us/op",NativeJvmci,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,7.285635,0.367198,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,20.957988,2.161624,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,38.396002,2.562376,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,11.211465,0.621862,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,28.677570,2.356778,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,63.993715,2.611883,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,23.084348,0.920830,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,60.296686,3.406682,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.euclidDistancesMulti","avgt",1,10,131.777880,5.829258,"us/op",NativeJvmci,768,500
