"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension","Param: vectorsCount"
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,85.374211,0.790113,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,512.845883,3.561785,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,2040.669337,9.430976,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,121.259318,0.463248,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,729.318460,1.202486,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,2951.406884,4.717453,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,212.502709,1.889065,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,1291.073303,11.361520,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,5167.931539,11.140247,"us/op",NativeJvmci,768,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMulti","avgt",1,10,7.475847,0.319537,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMulti","avgt",1,10,21.991209,2.337894,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMulti","avgt",1,10,43.407847,2.479468,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMulti","avgt",1,10,11.372835,0.400404,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMulti","avgt",1,10,29.212028,2.162985,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMulti","avgt",1,10,67.314390,2.234675,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMulti","avgt",1,10,21.867748,1.023899,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMulti","avgt",1,10,61.998587,4.949757,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMulti","avgt",1,10,140.840430,11.014466,"us/op",NativeJvmci,768,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.averageVector","avgt",1,10,19.990001,0.323931,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.averageVector","avgt",1,10,50.794211,1.544569,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.averageVector","avgt",1,10,107.230979,0.448759,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.averageVector","avgt",1,10,26.679875,0.172221,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.averageVector","avgt",1,10,73.273450,0.553345,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.averageVector","avgt",1,10,159.681139,1.818227,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.averageVector","avgt",1,10,64.049036,1.205460,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.averageVector","avgt",1,10,152.669381,3.413078,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.averageVector","avgt",1,10,334.274983,4.320373,"us/op",NativeJvmci,768,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMatrix","avgt",1,10,66.215429,0.335127,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMatrix","avgt",1,10,401.444400,1.638068,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMatrix","avgt",1,10,1606.731526,6.363626,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMatrix","avgt",1,10,94.682628,0.626269,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMatrix","avgt",1,10,577.890873,2.468995,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMatrix","avgt",1,10,2335.574147,12.139582,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMatrix","avgt",1,10,179.338123,0.841976,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMatrix","avgt",1,10,1093.558207,8.961942,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMatrix","avgt",1,10,4415.781736,27.508472,"us/op",NativeJvmci,768,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMulti","avgt",1,10,7.077434,0.220718,"us/op",NativeJvmci,256,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMulti","avgt",1,10,20.282108,0.779513,"us/op",NativeJvmci,256,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMulti","avgt",1,10,39.068136,2.712637,"us/op",NativeJvmci,256,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMulti","avgt",1,10,11.122316,0.805535,"us/op",NativeJvmci,384,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMulti","avgt",1,10,28.149595,2.403042,"us/op",NativeJvmci,384,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMulti","avgt",1,10,64.883095,1.736225,"us/op",NativeJvmci,384,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMulti","avgt",1,10,23.032493,0.995820,"us/op",NativeJvmci,768,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMulti","avgt",1,10,60.520778,3.771176,"us/op",NativeJvmci,768,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.euclidDistancesMulti","avgt",1,10,134.902921,7.986665,"us/op",NativeJvmci,768,500
