"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension"
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,182.330335,6.913665,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,261.665739,18.437449,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,659.038666,4.114096,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,158.674141,2.207850,"ns/op",VectorApi,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,221.254253,8.032092,"ns/op",VectorApi,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,420.971937,1.754054,"ns/op",VectorApi,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,105.985152,3.489393,"ns/op",NativeJni,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,134.739404,3.452630,"ns/op",NativeJni,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,221.878354,5.937832,"ns/op",NativeJni,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,49.843763,0.269749,"ns/op",NativePanama,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,58.193266,0.631510,"ns/op",NativePanama,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.angularDistance","avgt",1,10,81.005510,1.451381,"ns/op",NativePanama,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,156.380124,1.028827,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,226.669427,1.084809,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,443.420325,5.955024,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,63.387570,1.131302,"ns/op",VectorApi,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,85.268291,1.318246,"ns/op",VectorApi,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,147.154536,1.636087,"ns/op",VectorApi,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,73.255717,1.494623,"ns/op",NativeJni,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,91.744108,0.756542,"ns/op",NativeJni,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,152.432044,2.121206,"ns/op",NativeJni,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,40.863661,0.514516,"ns/op",NativePanama,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,48.551509,0.937903,"ns/op",NativePanama,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.averageValue","avgt",1,10,71.697819,1.367953,"ns/op",NativePanama,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,304.266462,2.595633,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,448.342537,2.551023,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,873.525345,10.292019,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,117.543631,0.908775,"ns/op",VectorApi,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,162.856719,2.009144,"ns/op",VectorApi,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,298.461029,6.862218,"ns/op",VectorApi,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,102.076411,2.271728,"ns/op",NativeJni,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,129.431070,1.426589,"ns/op",NativeJni,384
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,221.110152,2.844710,"ns/op",NativeJni,768
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,69.186283,0.776827,"ns/op",NativePanama,256
"ru.ifmo.se.benchmarks.SingleArrayOperations.dispersion","avgt",1,10,87.865413,1.758307,"ns/op",NativePanama,384
