"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension"
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,174.976168,0.190673,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,250.401877,0.222843,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,634.921356,0.232010,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,149.980205,0.070116,"ns/op",VectorApi,256
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,212.161790,0.089497,"ns/op",VectorApi,384
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,405.343859,1.336077,"ns/op",VectorApi,768
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,92.162224,0.022034,"ns/op",NativeJni,256
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,116.721492,0.061499,"ns/op",NativeJni,384
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,198.691823,0.169025,"ns/op",NativeJni,768
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,41.212364,0.128975,"ns/op",NativePanama,256
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,47.769145,0.132160,"ns/op",NativePanama,384
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.angularDistance","avgt",1,10,67.246113,0.074899,"ns/op",NativePanama,768
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,152.705819,0.098139,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,223.973119,0.119598,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,429.725397,0.207802,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,61.886758,0.517892,"ns/op",VectorApi,256
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,81.594451,0.051004,"ns/op",VectorApi,384
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,144.923148,0.127394,"ns/op",VectorApi,768
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,68.107310,0.052214,"ns/op",NativeJni,256
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,83.624562,0.204859,"ns/op",NativeJni,384
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,136.985400,0.151872,"ns/op",NativeJni,768
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,36.285510,0.029226,"ns/op",NativePanama,256
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,43.179180,0.052429,"ns/op",NativePanama,384
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.averageValue","avgt",1,10,65.142175,0.432761,"ns/op",NativePanama,768
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.dispersion","avgt",1,10,297.208158,0.179056,"ns/op",PlainJava,256
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.dispersion","avgt",1,10,436.026698,0.166372,"ns/op",PlainJava,384
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.dispersion","avgt",1,10,855.174717,0.258069,"ns/op",PlainJava,768
"ru.ifmo.se.benchmarks.SingleVectorOperationsBenchmark.dispersion","avgt",1,10,114.501593,0.071804,"ns/op",VectorApi,256
